codigo,idade,departamento,escolaridade,sexo,nivel,funcao,est_civil,salario,horas_trab,total_tempo_trab,cursos_ultimo_ano,tempo_empresa,tempo_funcao,ultima_promocao,tempo_gerente_atual,deixou_a_empresa
30,21,P&D,2,M,1,Pesquisador,Solteiro(a),1232,80,0,6,0,0,0,0,N
31,34,P&D,1,M,1,Pesquisador,Solteiro(a),2960,80,8,2,4,2,1,3,S
32,53,P&D,3,F,5,Gerente,Divorviado(a),19094,80,26,3,14,13,4,8,N
33,32,P&D,1,F,1,Pesquisador,Solteiro(a),3919,80,10,5,10,2,6,7,S
35,42,Vendas,4,M,2,Executivo de Vendas,Casado(a),6825,80,10,2,9,7,4,2,N
36,44,P&D,4,F,3,Representante de Saude,Casado(a),10248,80,24,4,22,6,5,17,N
38,46,Vendas,4,F,5,Gerente,Solteiro(a),18947,80,22,2,2,2,2,1,N
39,33,P&D,3,M,1,Tecnico de Laboratorio,Solteiro(a),2496,80,7,3,1,1,0,0,N
40,44,P&D,4,M,2,Representante de Saude,Casado(a),6465,80,9,5,4,2,1,3,N
41,30,P&D,2,M,1,Tecnico de Laboratorio,Solteiro(a),2206,80,10,5,10,0,1,8,N
42,39,Vendas,3,M,2,Representante de Vendas,Casado(a),2086,80,19,6,1,0,0,0,S
45,24,P&D,3,M,1,Pesquisador,Casado(a),2293,80,6,2,2,0,2,0,S
46,43,P&D,2,F,1,Pesquisador,Divorviado(a),2645,80,6,3,5,3,1,4,N
47,50,Vendas,2,M,1,Representante de Vendas,Casado(a),2683,80,3,2,3,2,0,2,S
49,35,Vendas,3,F,1,Representante de Vendas,Casado(a),2014,80,2,3,2,2,2,2,N
51,36,P&D,4,F,1,Pesquisador,Casado(a),3419,80,6,3,1,1,0,0,N
52,33,Vendas,3,F,2,Executivo de Vendas,Casado(a),5376,80,10,3,5,3,1,3,N
53,35,P&D,2,M,1,Tecnico de Laboratorio,Divorviado(a),1951,80,1,3,1,0,0,0,N
54,27,P&D,4,F,1,Tecnico de Laboratorio,Divorviado(a),2341,80,1,6,1,0,0,0,N
55,26,P&D,3,M,1,Tecnico de Laboratorio,Solteiro(a),2293,80,1,2,1,0,0,1,S
56,27,Vendas,3,M,3,Executivo de Vendas,Solteiro(a),8726,80,9,0,9,8,1,7,N
57,30,P&D,2,F,2,Tecnico de Laboratorio,Solteiro(a),4011,80,12,2,12,8,3,7,N
58,41,P&D,3,F,5,Diretor de Pesquisa,Casado(a),19545,80,23,0,22,15,15,8,S
60,34,Vendas,4,M,2,Executivo de Vendas,Solteiro(a),4568,80,10,2,9,5,8,7,N
61,37,P&D,2,M,1,Pesquisador,Casado(a),3022,80,8,1,1,0,0,0,N
62,46,Vendas,4,M,2,Executivo de Vendas,Solteiro(a),5772,80,14,4,9,6,0,8,N
63,35,P&D,1,M,1,Tecnico de Laboratorio,Casado(a),2269,80,1,2,1,0,0,1,N
64,48,P&D,2,M,3,Tecnico de Laboratorio,Solteiro(a),5381,80,23,2,1,0,0,0,S
65,28,P&D,4,M,1,Tecnico de Laboratorio,Solteiro(a),3441,80,2,3,2,2,2,2,S
68,44,Vendas,5,F,2,Executivo de Vendas,Divorviado(a),5454,80,9,2,4,3,1,3,N
70,35,P&D,2,M,3,Representante de Saude,Casado(a),9884,80,10,3,4,0,2,3,N
72,26,Vendas,3,F,2,Executivo de Vendas,Casado(a),4157,80,5,2,2,2,0,0,N
73,33,P&D,2,F,3,Diretor de Pesquisa,Solteiro(a),13458,80,15,1,15,14,8,12,N
74,35,Vendas,5,M,3,Executivo de Vendas,Casado(a),9069,80,9,3,9,8,1,8,N
75,35,P&D,4,F,1,Tecnico de Laboratorio,Casado(a),4014,80,4,3,2,2,2,2,N
76,31,P&D,4,M,2,Tecnico de Laboratorio,Divorviado(a),5915,80,10,3,7,7,1,7,N
77,37,P&D,4,M,2,Diretor de Manufatura,Divorviado(a),5993,80,7,2,7,5,0,7,N
78,32,P&D,3,M,2,Diretor de Manufatura,Casado(a),6162,80,9,3,9,8,7,8,N
79,38,P&D,5,F,2,Tecnico de Laboratorio,Solteiro(a),2406,80,10,2,10,3,9,9,N
80,50,P&D,2,F,5,Diretor de Pesquisa,Divorviado(a),18740,80,29,2,27,3,13,8,N
81,59,Vendas,3,F,3,Executivo de Vendas,Solteiro(a),7637,80,28,3,21,16,7,9,N
83,36,P&D,3,F,3,Representante de Saude,Divorviado(a),10096,80,17,2,17,14,12,8,N
84,55,P&D,3,F,4,Gerente,Divorviado(a),14756,80,21,2,5,0,0,2,N
85,36,P&D,3,M,2,Diretor de Manufatura,Solteiro(a),6499,80,6,3,6,5,0,3,N
86,45,P&D,3,M,3,Pesquisador,Divorviado(a),9724,80,25,2,1,0,0,0,N
88,35,P&D,3,M,1,Pesquisador,Casado(a),2194,80,5,2,3,2,1,2,N
90,36,P&D,3,M,1,Pesquisador,Casado(a),3388,80,2,0,1,0,0,0,S
91,59,Vendas,1,F,2,Executivo de Vendas,Solteiro(a),5473,80,20,2,4,3,1,3,N
94,29,P&D,3,M,1,Pesquisador,Casado(a),2703,80,6,3,5,4,0,4,N
95,31,P&D,4,M,1,Pesquisador,Solteiro(a),2501,80,1,4,1,1,1,0,N
96,32,P&D,3,M,2,Pesquisador,Casado(a),6220,80,10,3,10,4,0,9,N
97,36,P&D,3,F,1,Tecnico de Laboratorio,Casado(a),3038,80,5,3,1,0,0,0,N
98,31,P&D,4,F,2,Diretor de Manufatura,Solteiro(a),4424,80,11,2,11,7,1,8,N
100,35,Vendas,4,M,2,Executivo de Vendas,Solteiro(a),4312,80,16,2,15,13,2,8,N
101,45,P&D,4,M,3,Diretor de Pesquisa,Casado(a),13245,80,17,3,0,0,0,0,N
102,37,P&D,4,M,3,Diretor de Pesquisa,Solteiro(a),13664,80,16,3,5,2,0,2,N
103,46,RH,2,M,2,RH,Divorviado(a),5021,80,16,2,4,2,0,2,N
104,30,P&D,1,M,2,Tecnico de Laboratorio,Casado(a),5126,80,10,1,10,8,3,0,N
105,35,P&D,3,M,1,Pesquisador,Solteiro(a),2859,80,6,3,6,4,0,4,N
106,55,Vendas,2,M,3,Executivo de Vendas,Casado(a),10239,80,24,4,1,0,1,0,N
107,38,P&D,3,F,2,Pesquisador,Divorviado(a),5329,80,17,3,13,11,1,9,N
110,34,P&D,2,M,2,Diretor de Manufatura,Casado(a),4325,80,5,2,5,2,1,3,N
112,56,P&D,3,M,3,Diretor de Manufatura,Solteiro(a),7260,80,37,3,6,4,0,2,N
113,23,Vendas,1,M,1,Representante de Vendas,Divorviado(a),2322,80,3,3,0,0,0,0,N
116,51,P&D,4,M,1,Tecnico de Laboratorio,Casado(a),2075,80,10,4,4,2,0,3,N
117,30,P&D,3,M,2,Representante de Saude,Casado(a),4152,80,11,3,11,10,10,8,N
118,46,Vendas,2,M,3,Executivo de Vendas,Solteiro(a),9619,80,9,3,9,8,4,7,S
119,40,P&D,4,M,4,Representante de Saude,Casado(a),13503,80,22,3,22,3,11,11,N
120,51,Vendas,4,M,2,Executivo de Vendas,Solteiro(a),5441,80,11,2,10,7,1,0,N
121,30,Vendas,2,F,2,Executivo de Vendas,Divorviado(a),5209,80,11,4,11,8,2,7,N
124,46,P&D,3,M,3,Representante de Saude,Casado(a),10673,80,21,5,10,9,9,5,N
125,32,Vendas,4,M,2,Executivo de Vendas,Solteiro(a),5010,80,12,0,11,8,5,7,N
126,54,P&D,4,F,3,Diretor de Pesquisa,Casado(a),13549,80,16,5,4,3,0,3,N
128,24,Vendas,2,F,2,Executivo de Vendas,Casado(a),4999,80,4,2,3,2,0,2,N
129,28,Vendas,3,M,2,Executivo de Vendas,Casado(a),4221,80,5,3,5,4,0,4,N
131,58,Vendas,4,M,4,Executivo de Vendas,Solteiro(a),13872,80,38,1,37,10,1,8,N
132,44,P&D,3,M,2,Tecnico de Laboratorio,Casado(a),2042,80,17,3,3,2,1,2,N
133,37,RH,4,M,1,RH,Divorviado(a),2073,80,7,3,3,2,0,2,S
134,32,P&D,1,M,1,Pesquisador,Solteiro(a),2956,80,1,2,1,0,0,0,N
137,20,P&D,3,F,1,Tecnico de Laboratorio,Solteiro(a),2926,80,1,5,1,0,1,0,S
138,34,P&D,4,F,2,Pesquisador,Solteiro(a),4809,80,16,3,16,13,2,10,N
139,37,P&D,2,M,2,Representante de Saude,Divorviado(a),5163,80,17,2,1,0,0,0,N
140,59,RH,4,F,5,Gerente,Casado(a),18844,80,30,3,3,2,2,2,N
141,50,P&D,3,F,5,Diretor de Pesquisa,Casado(a),18172,80,28,1,8,3,0,7,N
142,25,Vendas,3,M,2,Executivo de Vendas,Solteiro(a),5744,80,6,1,6,4,0,3,S
143,25,P&D,1,M,1,Pesquisador,Casado(a),2889,80,2,2,2,2,2,1,N
144,22,P&D,3,F,1,Tecnico de Laboratorio,Solteiro(a),2871,80,1,5,0,0,0,0,N
145,51,P&D,4,F,3,Representante de Saude,Solteiro(a),7484,80,23,1,13,12,12,8,N
147,34,P&D,3,M,2,Tecnico de Laboratorio,Solteiro(a),6074,80,9,3,9,7,0,6,S
148,54,RH,3,F,4,Gerente,Solteiro(a),17328,80,23,3,5,3,4,4,N
150,24,P&D,1,M,1,Tecnico de Laboratorio,Casado(a),2774,80,6,2,5,3,1,2,N
151,34,P&D,4,F,2,Pesquisador,Divorviado(a),4505,80,12,3,1,0,0,0,N
152,37,Vendas,3,M,3,Executivo de Vendas,Solteiro(a),7428,80,12,3,5,3,1,3,N
153,34,P&D,3,F,3,Gerente,Solteiro(a),11631,80,14,6,11,10,5,8,N
154,36,Vendas,2,F,3,Executivo de Vendas,Casado(a),9738,80,10,6,9,7,2,8,N
155,36,P&D,2,F,1,Tecnico de Laboratorio,Divorviado(a),2835,80,7,2,1,0,0,0,N
158,43,Vendas,2,M,4,Gerente,Casado(a),16959,80,25,3,25,12,4,12,N
159,30,P&D,3,M,1,Pesquisador,Divorviado(a),2613,80,10,2,10,7,0,9,N
160,33,Vendas,2,M,2,Executivo de Vendas,Casado(a),6146,80,8,2,7,7,0,7,N
161,56,P&D,4,F,1,Pesquisador,Casado(a),4963,80,7,2,5,4,4,3,S
162,51,P&D,3,M,5,Diretor de Pesquisa,Solteiro(a),19537,80,23,5,20,18,15,15,N
163,31,Vendas,4,M,2,Executivo de Vendas,Casado(a),6172,80,12,3,7,7,7,7,S
164,26,P&D,3,F,1,Pesquisador,Casado(a),2368,80,5,3,5,4,4,3,N
165,58,P&D,4,F,3,Representante de Saude,Casado(a),10312,80,40,3,40,10,15,6,S
167,19,Vendas,1,M,1,Representante de Vendas,Solteiro(a),1675,80,0,2,0,0,0,0,S
169,22,P&D,1,M,1,Tecnico de Laboratorio,Casado(a),2523,80,3,2,2,1,2,1,N
170,49,P&D,4,F,2,Diretor de Manufatura,Casado(a),6567,80,16,2,15,11,5,11,N
171,43,P&D,3,F,1,Pesquisador,Solteiro(a),4739,80,18,2,3,2,1,2,N
174,50,Vendas,3,F,3,Executivo de Vendas,Solteiro(a),9208,80,16,3,2,2,2,1,N
175,31,Vendas,3,F,2,Executivo de Vendas,Casado(a),4559,80,4,2,2,2,2,2,S
176,41,Vendas,1,M,3,Executivo de Vendas,Divorviado(a),8189,80,12,2,9,7,0,7,N
177,26,RH,1,F,1,RH,Casado(a),2942,80,8,3,8,7,5,7,N
178,36,P&D,2,M,2,Diretor de Manufatura,Divorviado(a),4941,80,7,0,3,2,0,1,N
179,51,P&D,4,M,3,Diretor de Manufatura,Solteiro(a),10650,80,18,2,4,2,0,3,S
182,39,Vendas,4,F,2,Executivo de Vendas,Casado(a),5902,80,17,1,15,11,5,9,N
183,25,Vendas,3,M,2,Executivo de Vendas,Casado(a),8639,80,6,3,2,2,2,2,N
184,30,RH,3,M,2,RH,Casado(a),6347,80,12,2,11,9,4,7,N
190,32,P&D,3,F,1,Tecnico de Laboratorio,Solteiro(a),4200,80,10,2,5,4,0,4,S
192,45,P&D,3,M,1,Pesquisador,Solteiro(a),3452,80,9,2,6,5,0,3,N
193,38,P&D,5,F,2,Pesquisador,Solteiro(a),4317,80,19,2,3,2,2,2,N
194,30,P&D,3,F,1,Pesquisador,Solteiro(a),2632,80,5,4,5,4,0,4,N
195,32,Vendas,2,M,2,Executivo de Vendas,Divorviado(a),4668,80,9,2,8,7,0,7,N
197,30,P&D,3,F,1,Pesquisador,Divorviado(a),3204,80,8,3,3,2,2,2,N
198,30,P&D,1,M,1,Tecnico de Laboratorio,Solteiro(a),2720,80,6,3,5,3,1,2,N
199,41,P&D,3,M,4,Gerente,Divorviado(a),17181,80,21,2,7,6,7,7,N
200,41,P&D,4,M,1,Tecnico de Laboratorio,Casado(a),2238,80,7,2,5,0,1,4,N
201,19,P&D,1,F,1,Tecnico de Laboratorio,Solteiro(a),1483,80,1,3,1,0,0,0,N
202,40,P&D,3,F,2,Pesquisador,Divorviado(a),5605,80,20,2,20,7,2,13,N
204,35,Vendas,5,M,3,Executivo de Vendas,Casado(a),7295,80,10,3,10,8,0,6,N
205,53,Vendas,2,M,2,Representante de Vendas,Casado(a),2306,80,13,3,7,7,4,5,N
206,45,P&D,3,M,2,Tecnico de Laboratorio,Divorviado(a),2348,80,20,2,17,9,0,15,N
207,32,Vendas,3,F,3,Executivo de Vendas,Solteiro(a),8998,80,9,2,9,8,3,7,N
208,29,P&D,1,M,2,Diretor de Manufatura,Casado(a),4319,80,10,1,10,7,0,9,N
211,51,P&D,4,M,2,Diretor de Manufatura,Casado(a),6132,80,10,2,1,0,0,0,N
214,58,P&D,3,F,1,Pesquisador,Casado(a),3346,80,9,3,1,0,0,0,N
215,40,Vendas,4,M,3,Executivo de Vendas,Casado(a),10855,80,15,2,12,11,2,11,N
216,34,Vendas,4,F,1,Representante de Vendas,Casado(a),2231,80,6,3,4,3,1,2,N
217,22,P&D,1,M,1,Pesquisador,Casado(a),2323,80,2,6,2,2,2,2,N
218,27,P&D,3,M,1,Pesquisador,Divorviado(a),2024,80,6,1,2,2,2,2,N
221,28,P&D,3,M,1,Pesquisador,Casado(a),2713,80,5,2,5,2,0,2,N
223,57,P&D,2,M,3,Representante de Saude,Divorviado(a),9439,80,12,2,5,3,1,4,N
224,27,P&D,3,M,1,Pesquisador,Divorviado(a),2566,80,1,2,1,1,0,1,N
226,50,P&D,3,F,5,Gerente,Solteiro(a),19926,80,21,5,5,4,4,4,N
227,41,P&D,3,M,1,Pesquisador,Divorviado(a),2451,80,13,2,9,8,1,8,N
228,30,Vendas,3,F,3,Executivo de Vendas,Casado(a),9419,80,12,2,10,9,7,4,N
230,38,Vendas,4,F,2,Executivo de Vendas,Solteiro(a),8686,80,12,2,8,3,0,7,N
231,32,P&D,5,M,1,Pesquisador,Solteiro(a),3038,80,8,2,5,4,1,4,N
233,27,P&D,3,M,1,Pesquisador,Casado(a),3058,80,6,3,5,2,1,1,N
235,19,Vendas,1,F,1,Representante de Vendas,Solteiro(a),2325,80,1,5,0,0,0,0,S
238,36,P&D,2,M,1,Tecnico de Laboratorio,Solteiro(a),2088,80,13,3,8,7,7,2,N
239,30,P&D,3,M,2,Tecnico de Laboratorio,Divorviado(a),3072,80,12,4,12,9,6,10,N
240,45,Vendas,2,F,2,Executivo de Vendas,Divorviado(a),5006,80,9,3,5,4,0,3,N
241,56,P&D,3,F,1,Pesquisador,Divorviado(a),4257,80,19,3,2,2,2,2,N
242,33,P&D,3,M,1,Pesquisador,Solteiro(a),2500,80,4,2,3,1,0,2,N
243,19,P&D,3,M,1,Tecnico de Laboratorio,Solteiro(a),1102,80,1,3,1,0,1,0,S
244,46,Vendas,2,F,3,Executivo de Vendas,Divorviado(a),10453,80,24,2,24,13,15,7,N
245,38,P&D,2,F,1,Tecnico de Laboratorio,Solteiro(a),2288,80,2,3,2,2,2,1,N
246,31,P&D,1,F,1,Pesquisador,Casado(a),3929,80,7,0,4,2,0,2,N
247,34,P&D,2,F,1,Pesquisador,Solteiro(a),2311,80,9,3,3,2,1,2,N
248,41,Vendas,2,F,1,Representante de Vendas,Solteiro(a),3140,80,4,5,4,3,0,2,S
249,50,P&D,3,M,1,Tecnico de Laboratorio,Casado(a),3690,80,5,2,3,2,0,2,N
250,53,P&D,2,F,2,Diretor de Manufatura,Divorviado(a),4450,80,5,3,4,2,1,3,N
252,33,P&D,3,F,1,Pesquisador,Casado(a),2756,80,8,5,8,7,1,6,N
253,40,P&D,1,F,5,Gerente,Casado(a),19033,80,21,2,20,8,9,9,N
254,55,P&D,4,M,5,Diretor de Pesquisa,Solteiro(a),18722,80,36,3,24,15,2,15,N
256,34,P&D,1,M,2,Diretor de Manufatura,Casado(a),9547,80,10,2,10,9,1,9,N
258,51,P&D,3,F,4,Representante de Saude,Solteiro(a),13734,80,21,6,7,7,1,0,N
259,52,P&D,4,M,5,Gerente,Casado(a),19999,80,34,5,33,18,11,9,N
260,27,P&D,3,F,1,Pesquisador,Solteiro(a),2279,80,7,2,7,7,0,3,N
261,35,P&D,2,M,2,Diretor de Manufatura,Casado(a),5916,80,8,1,1,0,0,1,S
262,43,P&D,3,M,1,Pesquisador,Divorviado(a),2089,80,7,3,5,4,2,2,N
264,45,P&D,2,M,4,Gerente,Casado(a),16792,80,22,1,20,8,11,8,N
267,37,P&D,3,M,1,Pesquisador,Casado(a),3564,80,8,3,8,7,1,7,N
269,35,P&D,3,F,2,Tecnico de Laboratorio,Solteiro(a),4425,80,10,5,6,2,1,2,N
270,42,P&D,2,F,2,Diretor de Manufatura,Divorviado(a),5265,80,11,5,5,3,0,2,N
271,38,P&D,4,M,2,Diretor de Manufatura,Casado(a),6553,80,14,3,1,0,0,0,N
273,38,P&D,3,M,2,Diretor de Manufatura,Casado(a),6261,80,9,3,7,7,1,7,N
274,27,P&D,1,M,2,Diretor de Manufatura,Casado(a),4298,80,6,1,2,2,2,0,N
275,49,P&D,4,M,2,Diretor de Manufatura,Divorviado(a),6804,80,7,0,7,7,1,7,N
277,34,P&D,4,M,1,Pesquisador,Divorviado(a),3815,80,5,4,5,3,2,0,N
281,40,P&D,2,M,2,Tecnico de Laboratorio,Casado(a),2741,80,15,2,7,2,3,7,N
282,38,P&D,1,M,2,Representante de Saude,Casado(a),6673,80,17,2,1,0,0,0,S
283,29,Vendas,3,F,3,Executivo de Vendas,Casado(a),7639,80,10,3,10,4,1,9,S
284,22,P&D,3,M,1,Pesquisador,Divorviado(a),2328,80,4,2,4,2,2,2,N
286,36,P&D,1,F,1,Tecnico de Laboratorio,Solteiro(a),2153,80,8,2,8,1,1,7,N
287,40,P&D,5,M,2,Representante de Saude,Casado(a),4876,80,5,5,3,2,0,2,N
288,46,P&D,4,M,3,Representante de Saude,Divorviado(a),9396,80,17,3,4,2,0,3,N
291,32,Vendas,4,M,3,Executivo de Vendas,Casado(a),10400,80,14,2,14,8,9,8,S
292,30,P&D,1,M,3,Diretor de Manufatura,Solteiro(a),8474,80,12,2,11,8,5,8,N
293,27,Vendas,3,F,2,Executivo de Vendas,Solteiro(a),9981,80,7,2,7,7,0,7,N
296,51,P&D,4,M,3,Diretor de Pesquisa,Casado(a),12490,80,16,5,10,9,4,7,N
297,30,P&D,3,F,1,Pesquisador,Solteiro(a),2657,80,8,5,5,2,0,4,S
298,41,Vendas,3,F,3,Gerente,Solteiro(a),13591,80,16,3,1,0,0,0,N
299,30,Vendas,4,F,2,Executivo de Vendas,Solteiro(a),6696,80,9,5,6,3,0,1,S
300,29,P&D,3,M,1,Pesquisador,Solteiro(a),2058,80,7,1,6,2,1,5,S
302,45,Vendas,3,F,3,Executivo de Vendas,Solteiro(a),8865,80,23,2,19,7,12,8,N
303,54,Vendas,3,F,2,Executivo de Vendas,Casado(a),5940,80,16,4,6,2,0,5,N
304,36,P&D,2,M,2,Tecnico de Laboratorio,Solteiro(a),5914,80,16,3,13,11,3,7,N
305,33,P&D,4,F,1,Pesquisador,Casado(a),2622,80,7,3,3,2,1,1,N
306,37,P&D,3,M,3,Diretor de Pesquisa,Divorviado(a),12185,80,10,1,10,8,0,7,N
307,38,Vendas,3,M,3,Executivo de Vendas,Divorviado(a),10609,80,17,6,16,10,5,13,N
308,31,P&D,4,M,2,Diretor de Manufatura,Casado(a),4345,80,6,2,5,4,1,4,N
309,59,P&D,3,M,1,Pesquisador,Casado(a),2177,80,7,6,1,0,0,0,N
311,37,Vendas,4,M,1,Representante de Vendas,Divorviado(a),2793,80,13,2,9,8,5,8,N
312,29,Vendas,1,F,3,Executivo de Vendas,Casado(a),7918,80,11,5,11,10,4,1,N
314,35,Vendas,3,F,3,Executivo de Vendas,Solteiro(a),8789,80,10,3,10,7,0,8,N
315,29,P&D,1,M,1,Pesquisador,Solteiro(a),2389,80,4,3,4,3,0,1,S
316,52,P&D,3,F,1,Tecnico de Laboratorio,Solteiro(a),3212,80,6,3,2,2,2,2,N
319,42,P&D,2,M,5,Gerente,Casado(a),19232,80,22,3,22,17,11,15,N
321,59,RH,2,M,1,RH,Casado(a),2267,80,7,2,2,2,2,2,N
323,50,Vendas,4,F,5,Gerente,Divorviado(a),19517,80,32,3,7,0,0,6,N
325,33,P&D,3,M,1,Tecnico de Laboratorio,Casado(a),2436,80,8,2,5,4,0,4,S
327,43,Vendas,3,F,4,Gerente,Casado(a),16064,80,22,3,17,13,1,9,N
328,33,P&D,2,F,1,Tecnico de Laboratorio,Casado(a),2707,80,13,3,9,7,1,7,S
329,52,Vendas,4,M,5,Gerente,Solteiro(a),19068,80,33,2,33,7,15,12,N
330,32,Vendas,2,F,1,Representante de Vendas,Casado(a),3931,80,6,5,4,3,1,2,N
331,32,P&D,3,M,1,Tecnico de Laboratorio,Solteiro(a),3730,80,4,2,3,2,1,2,S
332,39,P&D,4,F,1,Tecnico de Laboratorio,Divorviado(a),2232,80,7,1,3,2,1,2,N
333,32,Vendas,4,M,2,Executivo de Vendas,Casado(a),4465,80,4,2,3,2,2,2,N
334,41,P&D,2,M,2,Pesquisador,Divorviado(a),3072,80,17,2,1,0,0,0,N
335,40,P&D,2,M,2,Pesquisador,Divorviado(a),3319,80,9,3,9,8,4,7,N
336,45,P&D,3,M,5,Gerente,Casado(a),19202,80,25,2,24,0,1,7,N
337,31,P&D,4,M,3,Diretor de Pesquisa,Divorviado(a),13675,80,9,3,2,2,2,2,N
338,33,P&D,4,F,1,Pesquisador,Casado(a),2911,80,2,2,2,2,0,2,N
339,34,P&D,4,M,2,Diretor de Manufatura,Casado(a),5957,80,13,3,11,9,5,9,N
340,37,P&D,2,F,1,Pesquisador,Casado(a),3920,80,17,2,3,1,0,2,N
341,45,P&D,4,M,2,Diretor de Manufatura,Casado(a),6434,80,9,1,3,2,0,2,N
342,37,P&D,3,M,3,Diretor de Manufatura,Divorviado(a),10048,80,17,5,1,0,0,0,S
343,39,P&D,4,F,3,Representante de Saude,Solteiro(a),10938,80,20,1,19,6,11,8,N
346,29,P&D,3,M,1,Pesquisador,Solteiro(a),2340,80,6,1,6,5,1,5,N
347,42,P&D,2,F,2,Pesquisador,Solteiro(a),6545,80,10,1,3,2,0,2,N
349,29,Vendas,2,M,2,Executivo de Vendas,Divorviado(a),6931,80,10,2,3,2,0,2,N
350,25,P&D,3,F,2,Diretor de Manufatura,Casado(a),4898,80,5,3,4,2,1,2,N
351,42,P&D,3,F,1,Tecnico de Laboratorio,Divorviado(a),2593,80,10,4,9,6,7,8,N
352,40,P&D,2,M,5,Diretor de Pesquisa,Divorviado(a),19436,80,22,5,21,7,3,9,N
353,51,P&D,3,M,1,Pesquisador,Casado(a),2723,80,1,0,1,0,0,0,N
355,31,P&D,2,M,1,Tecnico de Laboratorio,Solteiro(a),3479,80,6,2,5,4,1,4,S
359,32,P&D,3,M,1,Tecnico de Laboratorio,Casado(a),2794,80,5,3,5,1,0,3,N
361,38,Vendas,2,M,2,Executivo de Vendas,Casado(a),5249,80,13,0,8,7,7,5,N
362,32,P&D,1,M,2,Tecnico de Laboratorio,Solteiro(a),2176,80,9,5,6,2,0,4,N
363,46,Vendas,3,F,4,Gerente,Casado(a),16872,80,28,2,7,7,7,7,N
364,28,P&D,4,M,1,Tecnico de Laboratorio,Solteiro(a),3485,80,5,5,0,0,0,0,S
366,29,Vendas,3,M,2,Executivo de Vendas,Casado(a),6644,80,10,2,0,0,0,0,N
367,31,P&D,3,M,2,Representante de Saude,Casado(a),5582,80,10,2,9,0,7,8,N
369,25,P&D,2,M,2,Representante de Saude,Divorviado(a),4000,80,6,2,6,3,1,5,N
372,45,P&D,2,M,4,Representante de Saude,Casado(a),13496,80,21,2,20,7,4,10,N
373,36,P&D,3,M,1,Tecnico de Laboratorio,Casado(a),3210,80,16,4,15,13,10,11,N
374,55,P&D,3,M,5,Gerente,Solteiro(a),19045,80,37,2,36,10,4,13,N
376,47,P&D,4,M,3,Gerente,Casado(a),11849,80,10,2,10,7,9,9,S
377,28,P&D,3,M,1,Pesquisador,Casado(a),2070,80,5,3,5,2,0,4,N
378,37,Vendas,4,M,2,Executivo de Vendas,Casado(a),6502,80,7,5,5,4,0,1,N
379,21,P&D,2,M,1,Pesquisador,Solteiro(a),3230,80,3,4,3,2,1,0,N
380,37,P&D,4,F,3,Diretor de Pesquisa,Divorviado(a),13603,80,15,2,5,2,0,2,N
