CD_TIP_PRC,NM_TIP_PRC
2324,"MCR 6.4 - MODERFROTA"
2325,"MCR 6.4 - PROIRRIGA (MODERINFRA)"
3068,"PROGER TURISMO INVESTIMENTO"
3284,"CAF INVEST ASSOCIA«’ES"
3286,"INVESTIMENTO MCR 6.4"
3287,"CAF CUSTEIO ASSOCIA«’ES"
3318,"BB MICROCR…DITO EMPREENDEDOR PJ - GIRO"
3319,"BB MICROCR…DITO EMPREENDEDOR PJ - INVESTIMENTO"
3323,"BB GIRO CARTOES"
3393,"BB CR…DITO PARCELADO PJ"
3431,"FUNCAF… CAPITAL DE GIRO"
3457,"FAT TURISMO 2014 - CAPITAL DE GIRO"
3458,"FAT TURISMO 2014 - INVESTIMENTO"
3464,"PRONAF A/C"
3477,FEPM
3478,FEE
3479,FGPP
3510,"BB CPR CONTRATA«√O"
3511,"BB AGRONEG”CIO GIRO"
3580,"CART√O BNDES VISA DISTRIBUI«√O"
6454,"CAF INDIVIDUALIZA«√O"
6666,"BB CONVIR FCO RURAL"
6667,"BB CONVIR INVESTIMENTO AGRÕCOLA"
6668,"BB CONVIR INVESTIMENTO PECU¡RIO"
6669,"BB CONVIR MCR 6.4 - MODERAGRO"
6670,"BB CONVIR PRONAMP INVESTIMENTO AGRICOLA"
6671,"BB CONVIR PRONAMP INVESTIMENTO"
6673,"MCR 6.4 - INOVAGRO COP"
6676,"MCR 6.4 - ABC - BENEFICI¡RIO PRONAMP"
7255,"BB CONVIR MCR 6.4 - INOVAGRO ESCAI"
7256,"BB CONVIR MCR 6.4 - INOVAGRO"
7305,"CAF INDIVIDUALIZA«√O COM RENEGOCIA«√O"
7309,"CAF PRORROGA«√O"
7338,"CAF PR…-CONSULTA CADASTRAL"
7346,"CAF ASSUN«√O DE DÕVIDAS COM RENEGOCIA«√O"
7437,"ADIANTAMENTO A COOPERADOS"
7455,"PCA - INVESTIMENTO AGROPECUARIO COP"
7459,"BB CONVIR MCR 6.4 - ABC"
7469,"PCA - INVESTIMENTO AGROPECUARIO ESCAI"
7473,"MCR 6.4 - INOVAGRO ESCAI"
7506,"4131 ¡REA INTERNACIONAL"
8053,"BB CR…DITO VEÕCULO"
8169,"AGROIND⁄STRIA EM REGIME DE PARCERIA"
8170,"BENEFIC/INDUSTRIALIZ P/ COOPERATIVAS AGROPEC"
8171,"PRODU«√O DE SEMENTES E MUDAS"
8172,"ADIANTAMENTO A COOPERADOS"
8173,"BB PROCAP-AGRO"
8174,"BB PRODECOOP"
8304,"CONV NIO COM COOPERATIVAS DE CR…DITO"
8369,"TETO - REPASSE"
8370,"CUSTEIO REPASSE"
8371,"INVESTIMENTO AGROPECU¡RIO - REPASSE"
8826,"ESTRUTURADA RECURSO EXTERNO"
8827,"ESTRUTURA RECURSO PR”PRIO"
9041,"PROGER URBANO CAPITAL DE GIRO"
9220,"BB CAPITAL DE GIRO"
9600,"INVESTE AGRO"
9989,"PROGRAMA EFICI NCIA MUNICIPAL"
10204,"BB CAPITAL DE GIRO DIGITAL (GIRO CORPORATE)"
10205,"BB GIRO DIGITAL"
10206,"BB GIRO EMPRESA"
10955,"BB CR…DITO EMPRESA - CL¡USULAS ESPECIAIS"
10993,"BB CR…DITO VEÕCULO PR”PRIO"
11127,"TETOS OPERACIONAIS"
11141,"BB GIRO CORPORATE COMPRA DE DÕVIDAS"
11202,"BB FINANCIAMENTO PJ"
11741,"PRONAF - GRUPO A/C - CUSTEIO"
11742,"PRONAF - GRUPO A - INVESTIMENTO"
11796,"CAF INVEST"
11815,"INVESTE AGRO - MODERFROTA"
11821,"AGROIND⁄STRIA EM REGIME DE PARCERIA"
11822,"BB AGRONEG”CIO GIRO"
11823,"BB CPR CONTRATA«√O"
11824,"BB CPR TETO"
11825,"BB FINANCIAMENTO PJ"
11826,"BB CAPITAL DE GIRO DIGITAL (GIRO CORPORATE)"
11827,"BB GIRO CORPORATE COMPRA DE DÕVIDAS"
11828,"BB GIRO DIGITAL"
11829,"BB GIRO EMPRESA"
11830,"COMERCIALIZA«√O RURAL"
11831,"CONTA GARANTIDA"
11832,"COOPBENS AQUISI«√O BENS"
11833,"COOPINSUMOS AQUISI«√O INSUMOS"
11834,"CR…DITO AGROINDUSTRIAL"
11835,"CUSTEIO AGRÕCOLA"
11836,"CUSTEIO AGRÕCOLA - PRONAMP"
11837,"CUSTEIO PECU¡RIO"
11838,"CUSTEIO PECU¡RIO - PRONAMP"
11839,"DESCONTO DE NPR"
11840,"FCO PRONAMP INVESTIMENTO AGRICOLA"
11841,"FCO PRONAMP INVESTIMENTO PECU¡RIO"
11842,"FCO RURAL"
11843,"FEAP - FINANCIAMENTO"
11844,FEE
11845,FEPM
11846,FGPP
11847,"INVESTE AGRO"
11848,"INVESTE AGRO - MODERFROTA"
11849,"INVESTIMENTO AGRÕCOLA"
11850,"INVESTIMENTO MCR 6.4"
11851,"INVESTIMENTO PECU¡RIO"
11852,"MCR 6.4 - ABC"
11853,"MCR 6.4 - ABC - BENEFICI¡RIO PRONAMP"
11854,"MCR 6.4 - INOVAGRO COP"
11855,"MCR 6.4 - INOVAGRO ESCAI"
11856,"MCR 6.4 - MODERAGRO"
11857,"MCR 6.4 - MODERFROTA"
11858,"MCR 6.4 - MODERINFRA"
11859,"MCR 6.4 - PROCAP-AGRO"
11860,"MCR 6.4 - PRODECOOP"
11861,"PRONAMP INVESTIMENTO AGRICOLA"
11862,"PRONAMP INVESTIMENTO PECU¡RIO"
11863,"TETOS OPERACIONAIS"
12645,"INVESTE AGRO - VEÕCULOS UTILIT¡RIOS"
12989,"BB CONVIR INVESTE AGRO"
13018,"FAT TAXISTA - PRORROGA«√O DE PARCELAS"
13019,"BB CR…DITO VEÕCULO - PRORROGA«√O DE PARCELAS"
13090,"PRONAF - GRUPO B - INVESTIMENTO"
13172,"PRONAMPE COVID-19"
13185,"FCO CAPITAL DE GIRO DISSOCIADO - COVID 19"
13210,"CONVERS√O CUSTEIO DIGITAL - PILOTO"
13239,"BB GIRO FGI PEAC"
13243,"REAN¡LISE FAT TAXISTA - PRORROGA«√O DE PARCELAS"
13321,"CUSTEIO AGROPECU¡RIO - XER"
13327,"FORMALIZA«√O (PILOTO CENOP BH)"
13410,"CONVERS√O CUSTEIO DIGITAL - NOVO FLUXO"
13454,"FCO ENERGIAS RENOV¡VEIS"
13455,"BB CR…DITO ENERGIAS RENOV¡VEIS"
14080,"INVESTE AGRO AQUISI«√O IM”VEL RURAL"
14304,"BB CONVIR PRONAF INVESTIMENTO"
21682,"CR…DITO MOBILIDADE"
22082,"SIMULADOR INVESTIMENTO (PLT BROTO)"
484,"CONV NIO MODERFROTA - BCNH"
7360,"ADITIVO PJ"
7362,"ADITIVO RURAL"
7364,"AJUSTE PENHOR BNC"
7365,"ASSUN«√O PJ"
7368,"ASSUN«√O RURAL"
7371,"CAF ASSUN«√O DE DÕVIDAS"
7372,"CAF ASSUN«√O DE DÕVIDAS COM RENEGOCIA«√O"
7373,"CAF CUSTEIO"
7374,"CAF CUSTEIO ASSOCIA«’ES"
7375,"CAF INDIVIDUALIZA«√O"
7376,"CAF INDIVIDUALIZA«√O COM RENEGOCIA«√O"
7377,"CAF INVEST"
7378,"CAF INVEST ASSOCIA«’ES"
7379,"CAF PR…-CONSULTA CADASTRAL"
7381,"CAF PRORROGA«√O"
7382,"CAF RENEG DÕVIDAS"
7383,"COMBATE PR CPR NPT"
7384,"CREDITO FUNDI¡RIO COMBATE PR"
7385,"FUNCAF… DA«√O - LEI 11.775"
7386,"RECUPERA«√O DE LAVOURA DE CACAU"
7387,"REESCALONAMENTO MPE"
7390,"REFINANCIAMENTO RURAL BNDES/FINAME"
7392,"REFINANCIAMENTO RURAL FCO"
7393,"REFINANCIAMENTO RURAL FUNCAF…-CPR"
7394,"RENEGOCIA«√O DE DÕVIDAS PJ"
7395,"RENEGOCIA«√O RURAL - CUSTEIO"
7396,"RENEGOCIA«√O RURAL - INVESTIMENTO"
7397,"RENEGOCIA«√O RURAL - PRONAF"
7398,"RENEGOCIA«√O RURAL - RISCO H OU PERDAS"
7399,"SEC/PESA - ASSUN«√O"
7400,"SEC/PESA - LIBERA«√O/SUBSTITUI«√O DE GARANTIAS"
7438,"ADITIVO AGRO - AJUSTE GRT"
7454,"REPROGRAMA«√O DE DÕVIDAS"
7476,"ADITIVO GOVERNO"
7499,"ESTRUTURADA - RAC"
7924,"PROGER URBANO EMPRESARIAL REFINANCIAMENTO"
7925,"RENEGOCIA«√O RURAL FEAP"
7944,ADITIVO-RECARACTERIZA«√O
7945,"ADITIVO-ALTERA«√O DO IM”VEL DE LOCALIZA«√O"
7946,"ADITIVO-SUBSTITUI«√O DE GARANTIA"
7947,ADITIVO-OUTROS
8310,"FCO EMPRESARIAL"
8323,"AMOSTRAGEM - ESTRUTURADA RECURSOS EXTERNOS"
8324,"AMOSTRAGEM - ESTRUTURADA RECURSOS PR”PRIOS"
8366,"SEGURO AGRÕCOLA"
8450,"CALCULAR REGIME DE COMPET NCIA - RES. 3844"
8517,"MIP - LC 148/2014 MUNICÕPIO"
8519,"MIP - LC 148/2014 ESTADO"
8814,"PROGER TURISMO REFINANCIAMENTO"
9349,"RENEGOCIA«√O RURAL - ME CUSTEIO"
9350,"RENEGOCIA«√O RURAL - ME INVESTIMENTO"
9352,"RENEGOCIA«√O RURAL - ME PRONAF"
9915,"RENEGOCIA«√O RURAL - CUSTEIO PEC BOV CORTE E MISTA"
9916,"RENEGOCIA«√O RURAL - INVEST PEC BOV CORTE E MISTA"
9992,"PROGRAMA EFICI NCIA MUNICIPAL"
9993,"AMOSTRAGEM - PROGRAMA EFICI NCIA MUNICIPAL"
9998,"RENEG RURAL ME - CUSTEIO CAFEICULTURA"
9999,"RENEG RURAL ME- INVESTIMENTO CAFEICULTURA"
10135,"ADITIVO PJ - AJUSTE GRT"
10165,"PRORROGA«√O EMERGENCIAL SUDENE - CUSTEIO"
10166,"PRORROGA«√O EMERGENCIAL SUDENE - INVESTIMENTO"
10639,"ADITIVO CONVIR"
10828,"RENEGOCIA«√O RURAL CUSTEIO FT"
10829,"RENEGOCIA«√O RURAL INVESTIMENTO FT"
10830,"RENEGOCIA«√O CUSTEIO FOR«A TAREFA INAD90"
10831,"RENEGOCIA«√O INVESTIMENTO FOR«A TAREFA INAD90"
10865,"CDC ESTRUTURADO COMPLEMENTO"
10869,"RENEG RURAL ME - CUSTEIO ORIZICULTURA"
10870,"RENEG RURAL ME - INVESTIMENTO ORIZICULTURA"
10871,"RENEG RURAL ME - CUSTEIO SUINOCULTURA"
10872,"RENEG RURAL ME - INVESTIMENTO SUINOCULTURA"
10873,"RENEG RURAL ME - CUSTEIO AVICULTURA"
10874,"RENEG RURAL ME - INVESTIMENTO AVICULTURA"
11023,"BB GIRO N√O PERFORMADO"
11042,"RENEG RURAL - MEDIDA EMERGENCIAL CUSTEIO"
11043,"RENEG RURAL - MEDIDA EMERGENCIAL INVESTIMENTO"
11044,"RENEG RURAL - MEDIDA PERMANENTE  CUSTEIO"
11045,"RENEG RURAL - MEDIDA PERMANENTE INVESTIMENTO"
11049,"RENEG RURAL - IN214"
11087,"RENEGOCIA«√O RURAL - DECIS√O JUDICIAL - CUSTEIO"
11089,"RENEGOCIA«√O RURAL - DECIS√O JUDICIAL - INVEST"
11099,"RENEG RURAL PVT - MEDIDA EMERGENCIAL CUSTEIO"
11100,"RENEG RURAL PVT - MEDIDA PERMANENTE  CUSTEIO"
11101,"RENEG RURAL PVT - MEDIDA EMERGENCIAL INVESTIMENTO"
11102,"RENEG RURAL PVT - MEDIDA PERMANENTE INVESTIMENTO"
11104,"PRONAF - GRUPO A - INVESTIMENTO"
11105,"PRONAF - GRUPO A/C - CUSTEIO"
11107,"PRONAF CUSTEIO REC. TERCEIROS"
11142,"BB GIRO CORPORATE COMPRA DE DÕVIDAS"
11147,"BB CR…DITO VEÕCULO"
11148,"BB CR…DITO VEÕCULO PR”PRIO"
11149,"CAF IRREGULARIDADES"
11275,"OSP - ATIVIDADES DIRETAS NO SISBACEN"
11276,"OSP - REGISTROS DE MOVIMENTOS"
11277,"OSP - SOLICITA«’ES/TRATAMENTOS ESPECÕFICOS"
11278,"OSP - TRATAMENTO DOS RELAT”RIOS"
11707,"RENOVA«√O PRONAF CUSTEIO"
11811,"COBRAN«A TARIFA CR…DITO AGROINDUSTRIAL"
11995,"ADITIVO AGRO - AJUSTE GRT PVT"
11996,"ADITIVO CONVIR PVT"
11997,"ADITIVO RURAL PVT"
11998,"ASSUN«√O RURAL PVT"
12376,"REGISTRO POSTERIOR"
12596,"FCO - COMPROVA«√O DE UTILIZA«√O DO CR…DITO"
12835,"CR…DITO AGROINDUSTRIAL"
12905,"INCLUIR DOCUMENTOS - PORTAL DETRAN"
12906,"TRATAR TED DEVOLVIDA - VEICULOS"
12907,"INCLUIR DOCUMENTOS - PORTAL DETRAN"
12912,"MEDIDA EMERGENCIAL CUSTEIO- SECA/ESTIAGEM"
12913,"MEDIDA EMERGENCIAL INVESTIMENTO - SECA/ESTIAGEM"
12914,"MEDIDA EMERGENCIAL PVT CUSTEIO- SECA/ESTIAGEM"
12915,"MEDIDA EMERGENCIAL PVT INVESTIMENTO-SECA/ESTIAGEM"
12960,"MEDIDA EMERGENCIAL CUSTEIO - COVID 19"
12961,"MEDIDA EMERGENCIAL INVESTIMENTO - COVID 19"
12962,"MEDIDA EMERGENCIAL PVT CUSTEIO - COVID 19"
12963,"MEDIDA EMERGENCIAL PVT INVESTIMENTO - COVID 19"
13046,"AJUSTE GRT- RECEBÕVEIS - COVID 19"
13134,"PEND NCIA DE CONTRATO - CR…DITO VEÕCULO"
13171,"ADITIVO GOVERNO - ATENDIMENTO LEI"
13244,"IMAGEM DE CONTRATO PARA O DETRAN"
13250,"CONTRATA«√O DE SEGURO - REGULARIZA«√O DE GARANTIA"
13824,"PRORROGA«√O FCO EMPRESARIAL - RESOLU«√O 4908"
14038,"REFINANCIAMENTO EMPRESARIAL BNDES"
16487,"CONTRATA«√O DE SEGURO - ENDOSSO"
21673,"ACP - BB GIRO EMPRESA"
21674,"ACP - BB CAPITAL DE GIRO DIGITAL (GIRO CORPORATE)"
21675,"ACP - BB GIRO DIGITAL"
21676,"ACP - CONTA GARANTIDA"
21677,"ACP - FCO CAPITAL DE GIRO"
21678,"ACP - FCO EMPRESARIAL"
21679,"ACP - BB FINANCIAMENTO PJ"
22081,"ACP - METODOLOGIA FCO"
22149,"AUS NCIA DE SEGURO VIGENTE"
22150,"PRAZO DE AVALIA«√O VENCIDA"
22151,"BEM PENDENTE DE COMPLEMENTA«√O"
22152,"BEM N√O COMPROVADO"
22153,"SNG PENDENTE DE TRATAMENTO"
24061,"CONDU«√O OPERA«’ES PERFIL ATACADO"
2330,"AGRICULTURA ORG¬NICA CUSTEIO"
2331,"AGRICULTURA ORG¬NICA INVESTIMENTO"
2332,"APONT IND SUCROALCOLEIRO"
2333,"BANCO DA TERRA"
2334,"BB CPR TETO"
2335,"BNDES PMAT"
2336,"CAF CUSTEIO"
2337,"CAF INVEST"
2338,"CARTA IMPORTA«√O"
2339,"COMBATE PR CPR NPT"
2340,"COMERCIALIZA«√O RURAL"
2341,"COOPBENS AQUISI«√O BENS"
2342,COOPERAGRO
2343,COOPERFAT
2344,"COOPINSUMOS AQUISI«√O INSUMOS"
2345,"CR…DITO AGROINDUSTRIAL"
2346,"CREDITO FUNDI¡RIO COMBATE PR"
2347,"CUSTEIO AGRÕCOLA"
2348,"CUSTEIO PECU¡RIO"
2349,EGF
2350,"ESTOCAGEM DE ¡LCOOL"
2351,"FAT FOMENTAR"
2352,"FAT INTEGRAR EMPR"
2353,"FCO EMPRESARIAL"
2354,"FCO RURAL"
2355,FINIMP
2356,"FUNCAF… COLHEITA"
2357,"FUNCAF… CUSTEIO"
2358,"FUNCAF… ESTOCAGEM"
2359,"INVESTIMENTO AGRÕCOLA"
2360,"INVESTIMENTO PECU¡RIO"
2361,LEASING
2362,"LEC COMERCIALIZA«√O"
2363,"MERCADO DE OP«’ES"
2364,"MOEDA VERDE CUSTEIO"
2365,"MOEDA VERDE INVESTIMENTO"
2366,"PRODEM DIVERSOS"
2367,"PRODEM PREFEITURAS"
2368,"PRODU«√O AGROPECU¡RIA PROD PR”PRIA"
2369,"PROGER EXPORTA«√O"
2370,"PROGER RURAL INVEST"
2371,"PROGER URBANO EMPRESARIAL"
2372,"PROGER URBANO PROFISSIONAL LIBERAL"
2373,"PRONAF AGRICULTOR FAMILIAR CUSTEIO"
2374,"PRONAF AGRICULTOR FAMILIAR INVESTIMENTO"
2375,"PRONAF AGROECOLOGIA"
2376,"PRONAF AGROIND⁄STRIA CUSTEIO"
2377,"PRONAF AGROIND⁄STRIA INVESTIMENTO"
2378,"PRONAF CUSTEIO"
2379,"PRONAF ECO"
2380,"PRONAF FLORESTAL"
2381,"PRONAF INVESTIMENTO"
2382,"PRONAF MAIS ALIMENTOS"
2383,"PRONAF MULHER"
2384,"PRONAF PROGRAMAS ESPECIAIS"
2385,"PRONAF RECUP UNIDADES FAMILIARES"
2386,"PRONAF REFORMA AGR¡RIA"
2387,"RECUPERA«√O DE LAVOURA DE CACAU"
2388,"PRONAF REFORMA AGR¡RIA - PLANTA BRASIL- GRUPO A"
2389,"CDC CUSTOMIZADO"
